"Description","Latitude","Longitude","Country","City","Address","Type"
"AT&T Amsterdam IDC",52.343980,4.828710,"Netherlands","Amsterdam","c/o Global Switch Amsterdam, Johan Huizingalann 759, Sloterva","Office"
"Executive Suite (Melchior Coworking)",45.646840",4.796120,"France","Charly","275, rue de L´Eglise","Office"
"IDeaS RD (India) - Pune",18.566720,73.769547,"India","Pune","3rd Fl Amar Megaplex, Sr No 110, Plot No 11/24, Banner","Office"
"Integrated Decisions & Systems Inc - Bloomington",44.853606,-93.357129,"United States of America","Bloomington","8500 Normandale Lake Blvd Ste 12","Office"
"MIA Computers Ltd - Herzliya",32.158833,34.808623,"Israel","Herzliya","Nolton House, 14 Shenkar St","Office"
"Nashville Executive Suite",36.163787,-86.780086,"United States of America","Nashville","Fifth Third Center, 424 Church Street, Suite 2000","Office"
"PT SAS Institute (Indonesia) - Jakarta",-6.217336,106.818159,"Indonesia","Jakarta","Sampoerna Strategic Square, North Tower 14th Floor, Jl Jendral Sudirman Kav 45-46","Office"
"SAS - Chaska - Data Center",44.851292,-93.599549,"United States of America","Chaska","3500 Lymna Blvd","Office"
"SAS Analytical Solutions SRL (Romania) - Bucharest",44.428410,26.108900,"Romania","Bucharest","Bectro Office Bldg Sector 3, Str Sfanta Vineri Nr 29","Office"
"SAS Design Offices Frankfurt Wiesenhuttenplatz GmbH",50.104860,8.666190,"Germany","Frankfurt","Wiesenhuttenplatz 25","Office"
"SAS Ecuador",-0.176010,-78.487580,"Ecuador","Quito","Iñaquito 36 A y Naciones Unidas, Edif. Platinum G, piso 9","Office"
"SAS Exec Suite",32.753990,-97.333182,"United States of America","Fort Worth","Sundance Square, 420 Throckmorton St","Office"
"SAS Executive Suite - Malvern",40.050207,-75.527225,"United States of America","Malvern","101 Lindenwood Drive, Suite 225","Office"
"SAS Executive Suite - PARIS",48.889581,2.243570,"France","PARIS","Tour Ariane, 71, voie des Sculpteurs","Office"
"SAS French Africa SARLAU - Casablanca",33.602005,-7.618048,"Morocco","Casablanca","Casablanca Marina, Crystal Bldg 1, 10th Fl, Almohad","Office"
"SAS Guiyang",26.647660,106.630150,"China","Guiyang","Guiyang Integrated Services Buil, No.349 Zongbao Road, Comprehensive bonded zone","Office"
